Rank,Platform,Year,Genre,Publisher,Global_Sales
156,2.56,1988.0,0.42,2.54,5.58
157,0.72,2009.0,0.53,0.52,5.57
158,0.69,1999.0,0.53,2.54,5.55
159,0.78,2007.0,0.19,0.52,5.55
160,0.72,2011.0,0.53,0.66,5.53
161,0.78,2009.0,0.59,1.3,5.51
162,0.24,2008.0,0.62,0.53,5.5
163,0.39,2001.0,0.94,2.54,5.49
164,0.39,2001.0,0.59,2.54,5.47
165,0.39,2001.0,0.94,2.54,5.46
166,0.69,1999.0,0.26,2.54,5.45
167,0.72,2008.0,0.79,0.75,5.43
168,0.58,2001.0,0.94,0.77,5.42
169,0.72,2014.0,0.47,0.89,5.42
170,0.72,2009.0,0.62,0.62,5.36
171,2.61,1989.0,0.42,2.54,5.34
172,2.61,1999.0,0.47,2.54,5.31
173,0.78,2012.0,0.53,0.52,5.3
174,0.61,2000.0,0.62,1.11,5.3
175,0.58,2003.0,0.62,0.82,5.29
176,0.69,1999.0,0.94,2.54,5.27
177,0.78,2009.0,0.53,0.52,5.27
178,0.38,2007.0,0.42,2.54,5.26
179,0.61,1997.0,0.53,0.5,5.24
180,0.58,,0.57,0.82,5.23
181,0.58,2004.0,0.62,0.62,5.21
182,0.27,2012.0,0.62,0.75,5.2
183,0.39,2003.0,0.94,2.54,5.2
184,0.57,2012.0,0.94,2.54,5.19
185,2.61,1994.0,0.94,2.54,5.19
186,0.78,2012.0,0.53,0.82,5.18
187,0.38,2007.0,0.53,2.54,5.17
188,0.84,1995.0,0.94,2.54,5.15
189,0.49,2013.0,0.45,2.54,5.15
190,0.38,2008.0,0.57,0.43,5.14
191,0.58,2003.0,0.79,0.82,5.13
192,2.61,1992.0,0.94,2.54,5.13
193,0.78,2010.0,0.62,1.3,5.13
194,0.66,2014.0,0.79,0.75,5.13
195,0.27,1996.0,0.45,1.3,5.12
196,0.58,2006.0,0.47,2.17,5.12
197,0.72,2009.0,0.53,0.53,5.11
198,0.66,2014.0,0.53,0.97,5.08
199,0.24,2006.0,0.53,0.97,5.08
200,0.72,2010.0,0.57,0.82,5.08
201,2.61,1999.0,0.94,2.54,5.07
202,0.61,1996.0,0.53,0.71,5.05
203,0.61,1999.0,0.57,0.75,5.02
204,0.57,2014.0,0.53,2.54,5.02
205,0.61,1999.0,0.26,0.5,5.01
206,0.61,1998.0,0.94,0.89,5.0
207,0.7,2007.0,0.79,2.54,5.0
208,0.58,2007.0,0.47,0.75,4.98
209,0.78,2008.0,0.62,1.16,4.96
210,0.38,2007.0,0.62,2.54,4.96
211,0.72,2007.0,0.53,0.89,4.94
212,0.58,2005.0,0.57,0.82,4.91
213,0.38,2007.0,0.53,0.97,4.9
214,0.69,1997.0,0.59,2.54,4.88
215,0.24,2010.0,0.62,0.53,4.87
216,2.56,1990.0,0.42,2.54,4.85
217,0.72,2010.0,0.53,0.89,4.84
218,0.27,2010.0,0.26,0.75,4.83
219,0.72,2007.0,0.19,0.52,4.83
220,0.72,2014.0,0.57,0.82,4.82
221,0.61,1999.0,0.59,0.89,4.79
222,0.83,2016.0,0.57,0.82,4.77
223,0.78,2011.0,0.53,0.66,4.76
224,0.61,2000.0,0.53,0.43,4.73
225,0.58,2003.0,0.59,0.35,4.7
226,0.61,2000.0,0.57,0.75,4.68
227,0.7,2008.0,0.45,2.54,4.68
228,0.58,2002.0,0.53,0.82,4.67
229,0.78,2011.0,0.59,1.3,4.64
230,0.61,1996.0,0.53,0.5,4.63
231,0.7,2007.0,0.47,0.75,4.62
232,0.84,1991.0,0.53,2.54,4.61
233,0.36,2002.0,0.53,2.54,4.6
234,0.7,2009.0,0.57,0.43,4.58
235,0.49,2013.0,0.53,2.54,4.58
236,0.57,2015.0,0.79,2.54,4.57
237,0.83,2014.0,0.53,0.89,4.55
238,0.78,2007.0,0.47,0.75,4.53
239,0.58,2004.0,0.57,0.82,4.53
240,0.73,1981.0,0.94,0.75,4.5
241,0.58,2006.0,0.57,0.82,4.49
242,0.58,2002.0,0.53,0.75,4.48
243,0.61,2000.0,0.62,1.12,4.47
244,0.83,2015.0,0.53,0.89,4.47
245,0.72,2014.0,0.79,0.75,4.45
246,0.58,2005.0,0.53,0.89,4.45
247,0.57,2012.0,0.47,2.54,4.44
248,0.7,2010.0,0.47,0.52,4.42
249,0.58,2001.0,0.57,0.75,4.41
250,0.58,2006.0,0.57,0.34,4.39
251,0.78,2006.0,0.62,0.97,4.39
252,2.56,1987.0,0.19,2.54,4.38
253,0.58,2005.0,0.59,0.82,4.37
254,0.72,2006.0,0.79,0.89,4.35
255,1.05,1991.0,0.94,0.43,4.34
256,0.58,2005.0,0.62,0.62,4.33
257,0.78,2013.0,0.57,0.82,4.31
258,0.78,2014.0,0.79,0.75,4.31
259,0.73,1980.0,0.79,0.43,4.31
260,0.78,2008.0,0.62,1.3,4.31
261,0.66,2015.0,0.79,1.3,4.26
262,0.57,2013.0,0.94,2.54,4.25
263,0.72,2009.0,0.53,0.5,4.25
264,0.72,2011.0,0.53,0.52,4.24
265,0.39,2001.0,0.47,0.27,4.24
266,0.58,2004.0,0.53,0.34,4.23
267,0.24,2006.0,0.94,0.89,4.22
268,0.27,1995.0,0.26,0.75,4.21
269,0.49,2011.0,0.53,2.54,4.21
270,0.58,2005.0,0.57,0.82,4.21
271,0.58,2003.0,0.47,0.89,4.2
272,0.83,2016.0,0.79,0.89,4.2
273,0.72,2007.0,0.59,0.89,4.2
274,0.78,2011.0,0.53,0.52,4.19
275,0.72,2009.0,0.53,0.53,4.19
276,0.78,2011.0,0.57,0.82,4.19
277,2.56,1989.0,0.53,4.17,4.17
278,2.56,1984.0,0.59,2.54,4.16
279,0.61,1997.0,0.53,0.95,4.16
280,0.58,2002.0,0.57,0.82,4.14
281,0.83,2014.0,0.53,0.52,4.14
282,0.27,1997.0,0.79,0.35,4.12
283,0.84,1995.0,0.94,2.54,4.12
284,0.58,2006.0,0.57,0.82,4.11
285,0.7,2011.0,0.53,2.54,4.1
286,0.84,1992.0,0.53,0.53,4.1
287,0.7,2007.0,0.47,0.97,4.1
288,0.66,2015.0,0.62,1.16,4.09
289,0.27,2007.0,0.62,0.75,4.09
290,0.78,2010.0,0.62,1.16,4.08
291,0.58,2007.0,0.53,0.89,4.07
292,0.78,2007.0,0.59,1.3,4.06
293,0.58,2005.0,0.57,0.34,4.06
294,0.61,1996.0,0.47,0.89,4.05
295,0.58,2000.0,0.53,0.27,4.05
296,0.83,2014.0,0.79,0.52,4.03
297,0.69,1997.0,0.79,2.54,4.03
298,0.83,2014.0,0.47,1.59,4.02
299,2.56,1984.0,0.57,2.54,4.01
300,0.72,2008.0,0.62,1.16,4.01
301,0.38,2007.0,0.42,2.54,4.0
302,0.78,2009.0,0.79,0.82,3.99
303,0.58,2005.0,0.47,0.27,3.98
304,0.7,2009.0,0.57,0.82,3.92
305,0.83,2014.0,0.53,0.52,3.92
306,2.61,1994.0,0.94,2.54,3.91
307,0.58,2003.0,0.57,0.75,3.9
308,0.72,2013.0,0.53,0.52,3.89
309,0.49,2014.0,0.62,2.54,3.89
310,0.72,2006.0,0.59,0.89,3.88
311,0.27,2011.0,0.62,1.16,3.88
312,0.58,2005.0,0.53,0.27,3.87
313,2.56,1988.0,0.62,1.12,3.87
314,0.72,2010.0,0.57,0.89,3.87
315,0.83,2015.0,0.57,0.97,3.85
316,0.58,2004.0,0.57,0.34,3.85
317,0.38,2007.0,0.47,2.54,3.84
318,0.61,1995.0,0.47,0.89,3.84
319,2.61,1992.0,0.53,2.54,3.83
320,0.38,2009.0,0.62,2.54,3.83
321,0.7,2007.0,0.47,2.54,3.82
322,0.49,2011.0,0.45,2.54,3.81
323,0.83,2015.0,0.53,0.66,3.79
324,0.7,2011.0,0.57,0.43,3.78
325,0.78,2008.0,0.53,0.75,3.78
326,0.61,1996.0,0.53,0.71,3.77
327,0.24,2007.0,0.94,0.89,3.77
328,0.7,2013.0,0.47,0.52,3.76
329,0.27,2002.0,0.45,0.82,3.76
330,0.7,2007.0,0.94,2.54,3.76
331,0.61,2001.0,0.53,0.82,3.73
332,0.83,2015.0,0.62,0.27,3.73
333,0.61,1999.0,0.53,0.5,3.72
334,0.61,2000.0,0.94,0.89,3.71
335,0.58,2004.0,0.57,0.82,3.7
336,2.61,1998.0,0.26,2.54,3.7
337,0.72,2013.0,0.79,0.82,3.69
338,0.38,2007.0,0.45,0.82,3.69
339,0.38,2009.0,0.47,2.54,3.67
340,0.58,2002.0,0.57,0.75,3.67
341,0.24,2005.0,0.59,0.97,3.66
342,0.69,1998.0,0.94,2.54,3.65
343,0.58,2002.0,0.79,0.89,3.65
344,0.7,2008.0,0.47,0.75,3.65
345,0.72,2013.0,0.59,0.89,3.64
346,0.58,2001.0,0.94,0.89,3.64
347,0.69,1999.0,0.45,2.54,3.63
348,0.72,2009.0,0.57,0.82,3.63
349,0.58,2007.0,0.57,0.34,3.63
350,0.83,2013.0,0.79,0.75,3.63
351,0.58,2005.0,0.53,0.53,3.62
352,0.83,2016.0,0.79,0.52,3.61
353,0.58,2004.0,0.79,0.97,3.61
354,0.27,1994.0,0.79,0.71,3.61
355,0.58,2001.0,0.59,0.82,3.61
356,0.38,2007.0,0.45,0.29,3.61
357,0.36,2001.0,0.53,2.54,3.6
358,0.58,2005.0,0.79,0.97,3.59
359,0.61,2000.0,0.53,0.48,3.58
360,0.61,1997.0,0.94,0.92,3.56
361,0.58,2006.0,0.53,0.97,3.54
362,0.58,2002.0,0.53,0.89,3.54
363,0.61,1997.0,0.53,0.5,3.54
364,0.58,2001.0,0.79,0.82,3.53
365,0.58,2005.0,0.53,0.5,3.53
366,0.78,2013.0,0.79,0.82,3.53
367,0.78,2010.0,0.57,0.82,3.53
368,0.61,2000.0,0.53,0.48,3.52
369,0.61,1999.0,0.94,0.89,3.52
370,0.78,2008.0,0.79,0.82,3.52
371,0.38,2009.0,0.57,0.43,3.52
372,0.78,2009.0,0.53,0.53,3.51
373,0.84,1996.0,0.94,2.54,3.51
374,0.78,2010.0,0.53,0.52,3.5
375,2.56,1985.0,0.53,2.54,3.5
376,0.78,2009.0,0.53,0.5,3.5
377,0.38,2006.0,0.47,2.54,3.5
378,0.58,,0.57,0.82,3.49
379,0.66,2015.0,0.79,0.82,3.49
380,0.78,2010.0,0.79,0.82,3.48
381,0.38,2008.0,0.47,0.75,3.48
382,0.66,2014.0,0.53,0.52,3.46
383,0.72,2012.0,0.79,0.52,3.45
384,0.49,2013.0,0.62,0.53,3.44
385,0.78,2009.0,0.79,0.97,3.44
386,0.58,2002.0,0.53,0.27,3.44
387,0.83,2013.0,0.79,0.82,3.43
388,0.72,2011.0,0.94,0.89,3.42
389,0.61,1998.0,0.53,0.97,3.42
390,0.84,1994.0,0.62,1.11,3.42
391,0.58,2004.0,0.53,0.75,3.41
392,2.61,1990.0,0.59,2.54,3.41
393,0.58,2002.0,0.57,0.82,3.4
394,0.61,2000.0,0.47,0.89,3.39
395,0.78,2008.0,0.53,0.66,3.38
396,0.83,2015.0,0.53,0.34,3.38
397,0.38,2009.0,0.53,2.54,3.38
398,0.61,1998.0,0.53,0.35,3.36
399,0.69,2000.0,0.53,2.54,3.36
400,0.38,2008.0,0.42,2.54,3.36
401,0.61,1998.0,0.19,0.48,3.34
402,0.78,2013.0,0.53,0.52,3.34
403,0.38,2006.0,0.47,2.54,3.33
404,0.58,2002.0,0.79,0.82,3.33
405,0.58,2002.0,0.94,0.89,3.33
406,0.7,2012.0,0.47,2.54,3.32
407,0.58,2005.0,0.53,0.97,3.32
408,0.58,2001.0,0.79,0.97,3.31
409,0.58,2003.0,0.53,0.82,3.28
410,0.83,2015.0,0.53,0.52,3.28
411,0.66,2014.0,0.79,0.75,3.28
412,0.58,2003.0,0.53,0.75,3.27
413,0.7,2008.0,0.47,2.54,3.27
414,0.24,2009.0,0.59,0.89,3.27
415,0.49,2015.0,0.53,0.53,3.26
416,0.61,1995.0,0.53,0.89,3.24
417,0.66,2015.0,0.57,0.82,3.23
418,0.72,2011.0,0.19,0.97,3.23
419,0.83,2015.0,0.57,0.82,3.22
420,0.49,2014.0,0.62,2.54,3.22
421,0.61,1999.0,0.79,0.82,3.21
422,2.56,1983.0,0.57,2.54,3.2
423,0.84,1995.0,0.53,2.54,3.2
424,0.61,2000.0,0.53,0.48,3.2
425,0.24,2007.0,0.62,0.62,3.19
426,0.24,2008.0,0.53,0.89,3.19
427,0.84,1995.0,0.62,1.12,3.19
428,0.78,2010.0,0.47,0.51,3.19
429,0.58,2003.0,0.53,0.43,3.18
430,0.57,2015.0,0.94,2.54,3.18
431,0.72,2010.0,0.62,1.16,3.17
432,0.7,,0.53,0.66,3.17
433,0.38,2008.0,0.47,2.54,3.17
434,0.58,2001.0,0.45,1.59,3.17
435,0.38,2008.0,0.19,0.55,3.16
436,0.36,2001.0,0.45,2.54,3.15
437,0.38,2008.0,0.53,0.66,3.15
438,0.38,2005.0,0.94,0.43,3.15
439,0.72,2012.0,0.79,0.53,3.15
440,0.66,2014.0,0.79,1.3,3.15
441,0.58,2007.0,0.57,0.82,3.14
442,0.61,2000.0,0.53,0.75,3.13
443,0.61,1998.0,0.59,0.82,3.12
444,0.69,1999.0,0.59,2.54,3.12
445,0.38,2006.0,0.47,2.54,3.12
446,0.72,2007.0,0.62,0.52,3.12
447,2.56,1990.0,0.62,1.12,3.12
448,0.72,2010.0,0.19,0.89,3.12
449,0.78,2010.0,0.62,0.82,3.11
450,0.78,2014.0,0.57,0.82,3.11
451,0.58,2002.0,0.53,0.43,3.09
452,0.58,2001.0,0.57,0.82,3.08
453,2.56,1986.0,0.57,0.27,3.08
454,0.78,2012.0,0.79,0.97,3.07
455,0.49,2013.0,0.53,2.54,3.07
456,2.61,1994.0,0.94,2.54,3.07
457,0.27,2002.0,0.45,0.82,3.07
458,0.78,2012.0,0.62,0.82,3.07
459,0.78,2008.0,0.53,0.75,3.05
460,0.78,2012.0,0.79,0.52,3.04
461,0.7,2010.0,0.94,0.55,3.04
462,0.78,2008.0,0.53,0.48,3.03
463,0.61,1995.0,0.94,0.52,3.03
464,0.72,2009.0,0.79,0.89,3.02
465,0.31,2002.0,0.53,0.52,3.02
466,2.56,1987.0,0.53,2.54,3.02
467,0.58,2002.0,0.57,0.48,3.02
468,0.66,2015.0,0.79,1.3,3.0
469,0.78,2012.0,0.57,0.97,3.0
470,0.58,2007.0,0.53,0.43,3.0
471,0.58,,0.53,,3.0
472,0.83,2014.0,0.53,0.66,2.99
473,0.84,1993.0,0.79,2.54,2.99
474,0.27,2000.0,0.47,0.82,2.99
475,0.58,2002.0,0.57,0.34,2.99
476,0.58,2001.0,0.53,0.53,2.99
477,0.49,2015.0,0.45,2.54,2.98
478,0.72,2010.0,0.79,0.82,2.97
479,0.27,2014.0,0.45,0.82,2.97
480,0.27,2011.0,0.62,0.82,2.97
481,0.58,2003.0,0.94,0.43,2.96
482,0.38,2008.0,0.94,2.54,2.96
483,0.58,2002.0,0.53,0.5,2.96
484,0.78,2009.0,0.53,0.53,2.95
485,0.69,1996.0,0.59,2.54,2.94
486,0.58,2003.0,0.79,0.89,2.94
487,0.58,2005.0,0.53,0.48,2.94
488,0.72,2009.0,0.53,0.89,2.94
489,0.39,2001.0,0.42,0.43,2.94
490,0.78,2007.0,0.62,1.3,2.93
491,0.7,2006.0,0.42,2.54,2.92
492,0.7,2007.0,0.45,0.29,2.91
493,0.39,2002.0,0.94,2.54,2.91
494,0.83,2013.0,0.57,0.82,2.9
495,0.66,2014.0,0.79,0.82,2.9
496,0.58,2004.0,0.47,0.43,2.9
497,0.78,2008.0,0.57,0.43,2.9
498,0.58,2003.0,0.57,0.34,2.9
499,0.72,2012.0,0.59,0.82,2.89
500,0.58,2001.0,0.57,0.89,2.89
501,0.58,2004.0,0.79,0.75,2.89
502,0.7,2011.0,0.57,0.17,2.88
503,0.61,1999.0,0.79,0.89,2.88
504,0.38,2007.0,0.45,0.52,2.88
505,0.61,1998.0,0.59,0.31,2.87
506,0.66,2013.0,0.79,0.75,2.86
507,0.78,2012.0,0.57,0.82,2.86
508,0.31,2002.0,0.62,0.52,2.86
509,0.72,2011.0,0.53,0.66,2.85
510,0.84,1990.0,0.59,2.54,2.85
511,0.69,1997.0,0.94,2.54,2.85
512,0.27,1996.0,0.26,0.71,2.85
513,0.7,2011.0,0.53,0.75,2.85
514,0.72,2015.0,0.57,0.82,2.85
515,0.72,2010.0,0.53,0.52,2.84
516,0.78,2007.0,0.79,0.97,2.83
517,0.78,2009.0,0.57,0.82,2.83
518,0.72,2010.0,0.79,0.82,2.83
519,0.58,2002.0,0.53,0.48,2.83
520,0.36,2002.0,0.79,2.54,2.82
521,0.39,2003.0,0.53,0.48,2.82
522,0.27,1994.0,0.19,2.62,2.81
523,0.72,2010.0,0.59,0.82,2.81
524,0.38,2007.0,0.45,0.52,2.81
525,0.58,2003.0,0.53,0.48,2.8
526,0.78,2008.0,0.53,0.97,2.8
527,0.38,2006.0,0.94,2.54,2.8
528,0.61,1997.0,0.57,0.89,2.79
529,0.72,2011.0,0.79,0.89,2.79
530,0.61,1998.0,0.94,0.89,2.79
531,0.58,2001.0,0.53,0.48,2.79
532,0.84,1992.0,0.62,1.12,2.79
533,0.61,1996.0,0.53,0.56,2.79
534,0.27,2011.0,0.79,0.82,2.79
535,0.58,2001.0,0.57,0.82,2.79
536,0.38,2009.0,0.42,2.54,2.79
537,0.49,2011.0,0.62,2.54,2.79
538,0.58,2003.0,0.94,0.89,2.78
539,0.83,2014.0,0.53,0.89,2.78
540,0.58,2003.0,0.94,0.89,2.78
541,0.72,2009.0,0.53,0.27,2.78
542,0.58,2003.0,0.45,0.82,2.77
543,0.7,2007.0,0.94,0.43,2.77
544,0.78,2011.0,0.53,0.48,2.77
545,0.73,1980.0,0.79,0.43,2.76
546,0.84,1992.0,0.47,2.54,2.75
547,0.83,2013.0,0.53,0.52,2.74
548,0.69,2000.0,0.26,2.54,2.73
549,2.56,1986.0,0.53,2.54,2.73
550,0.78,2011.0,0.19,0.97,2.72
551,0.78,2006.0,0.79,0.75,2.71
552,0.39,2002.0,0.53,2.54,2.7
553,0.58,2001.0,0.53,0.71,2.7
554,0.83,2015.0,0.53,0.66,2.7
555,0.69,1998.0,0.47,2.54,2.7
556,0.78,2011.0,0.57,0.82,2.69
557,0.58,2006.0,0.53,0.97,2.69
558,0.78,2010.0,0.57,0.82,2.69
559,0.38,2010.0,0.42,2.54,2.69
560,0.78,2010.0,0.57,0.82,2.68
561,0.58,2004.0,0.59,0.82,2.68
562,0.49,2014.0,0.62,0.45,2.68
563,0.72,2009.0,0.59,0.82,2.68
564,0.72,2011.0,0.62,0.62,2.68
565,1.05,1992.0,0.53,2.36,2.67
566,0.58,2005.0,0.79,0.75,2.67
567,0.78,2008.0,0.47,0.75,2.67
568,0.61,1998.0,0.79,0.82,2.67
569,0.31,2004.0,0.62,1.3,2.66
570,0.38,2006.0,0.53,0.55,2.65
571,0.58,2003.0,0.53,0.52,2.65
572,0.7,2012.0,0.53,0.75,2.65
573,0.24,2006.0,0.79,0.82,2.65
574,2.56,1986.0,0.94,2.54,2.65
575,0.69,1996.0,0.53,2.54,2.65
576,0.78,2007.0,0.53,0.97,2.64
577,0.58,2000.0,0.59,0.97,2.63
578,0.24,2006.0,0.53,0.89,2.63
579,0.78,2009.0,0.26,1.3,2.63
580,0.72,2009.0,0.53,0.89,2.63
581,0.58,2004.0,0.57,0.43,2.62
582,0.7,2007.0,0.57,2.54,2.62
583,0.78,2010.0,0.79,0.82,2.62
584,0.78,2009.0,0.57,0.82,2.62
585,0.78,2011.0,0.57,0.97,2.62
586,0.38,2008.0,0.45,2.54,2.61
587,0.58,2002.0,0.53,0.82,2.61
588,0.7,2010.0,0.94,2.54,2.6
589,1.05,1990.0,0.53,0.43,2.6
590,0.72,2008.0,0.57,0.82,2.59
591,0.72,2007.0,0.94,0.89,2.59
592,0.58,2004.0,0.57,0.82,2.59
593,0.24,2009.0,0.94,0.89,2.58
594,0.83,2013.0,0.79,0.89,2.58
595,0.78,2009.0,0.53,0.97,2.58
596,0.24,2007.0,0.62,0.53,2.58
597,0.58,2006.0,0.53,0.48,2.58
598,0.58,2004.0,0.94,0.89,2.57
599,0.38,2010.0,0.47,2.54,2.57
600,0.78,2009.0,0.62,0.82,2.57
601,0.58,2007.0,0.57,0.82,2.57
602,0.36,2001.0,0.94,0.43,2.56
603,2.56,1987.0,0.62,1.12,2.56
604,0.72,2012.0,0.57,0.82,2.56
605,0.36,2003.0,0.62,2.54,2.54
606,0.7,2008.0,0.57,0.34,2.54
607,0.78,2008.0,0.57,0.82,2.54
